address,num_room,district,age,sa,sap,gfa,gfap,price,monthly,convenience,efficiency,region
LOHAS PARK・PHASE 2B LE PRIME・TOWER 6 - L WING,3,Lohas Park,13,813,9840,1069,7483,8.0,27140,6,76,NT West
Century Gateway・Phase 1・Tower 1,4,Tuen Mun Town Centre,11,858,13986,1110,10810,12.0,40711,4,77,NT West
Parkland Villas・BLOCK 1,3,Siu Hong,23,499,9378,715,6545,4.68,15877,10,69,HK Island
Beneville・Block 2,2,Siu Hong,20,428,9532,577,7071,4.08,13842,1,74,HK Island
HOLLYWOOD TERRACE・BLOCK A,2,Sheung Wan,24,615,19512,755,15894,12.0,40711,6,81,HK Island
The Trend Plaza・Block A,2,Tuen Mun Town Centre,36,409,9290,516,7364,3.8,12892,8,79,NT West
THE BELCHER'S・PHASE 1・TOWER 3,2,Mid-Levels West,23,667,22488,852,17605,15.0,50888,2,78,HK Island
CITY GARDEN・PHASE 2・BLOCK 12,3,North Point,38,773,12134,870,10781,9.38,31822,6,88,HK Island
LOHAS PARK・PHASE 2A  LE PRESTIGE・WATER LILIES (TOWER 5 - R WING,3,Lohas Park,14,717,11018,946,8350,7.9,26801,8,75,NT West
OCEAN SHORES・Phase 1・TOWER 1,2,Tiu Keng Leng,23,504,16865,676,12573,8.5,28837,10,74,NT East
TANNER GARDEN・BLOCK 1,3,North Point,33,654,16819,794,13853,11.0,37318,4,82,HK Island
YOHO TOWN・PHASE 2 YOHO MIDTOWN・BLOCK M7,2,Yuen Long Station,14,507,13412,655,10381,6.8,23069,5,77,NT East
PARKLAND VILLAS・BLOCK 1,2,Siu Hong,23,376,9308,548,6386,3.5,11874,10,68,HK Island
YOHO TOWN・Phase 1・BLOCK 2,2,Yuen Long Station,20,393,15470,525,11580,6.08,20627,10,74,NT East
Yoho Town・Phase 2 Yoho Midtown・Block M2,2,Yuen Long Station,14,443,14176,573,10959,6.28,21305,5,77,NT East
ISLAND HARBOURVIEW・TOWER 3,2,Olympic Station,24,457,17286,609,12972,7.9,26801,6,75,HK Island
SIU HONG COURT・SIU NING HOUSE (BLOCK S),2,Siu Hong,39,447,7158,539,5936,3.2,10856,1,82,HK Island
THE TREND PLAZA・BLOCK C,2,Tuen Mun Town Centre,36,346,10693,452,8185,3.7,12552,8,76,NT West
Beneville・Block 3,2,Siu Hong,20,445,10516,580,8068,4.68,15877,1,76,HK Island
Island Harbourview・Tower 9,2,Olympic Station,24,468,24957,641,18221,11.68,39625,6,73,HK Island
KAILEY COURT,2,Tin Hau,31,333,13513,466,9656,4.5,15266,6,71,HK Island
CITY ONE SHATIN・SITE 3・BLOCK 32,2,City One Shatin,41,451,12860,562,10320,5.8,19677,8,80,NT East
TUNG CHUNG CRESCENT・Phase 2・BLOCK 6,2,Tung Chung Town Centre,25,607,11828,832,8629,7.18,24359,2,72,NT West
CARIBBEAN COAST・Phase 3 Carmel Cove・LUX LIVING (TOWER 12),3,Tung Chung Town Centre,19,748,9866,1013,7285,7.38,25037,4,73,NT West
COASTAL SKYLINE・PHASE 3 LA ROSSA・LA ROSSA A (TOWER 7),3,Tung Chung Town Centre,17,777,12226,1000,9500,9.5,32229,9,77,NT West
HONG LAI GARDEN・BLOCK 1,2,Tuen Mun Town Centre,35,363,9311,486,6954,3.38,11467,5,74,NT West
CHELSEA HEIGHTS・Phase 2・BLOCK 7,3,Tuen Mun North,23,710,10281,925,7891,7.3,24766,10,76,NT West
SCENEWAY GARDEN・BLOCK 7,3,Lam Tin,32,614,12508,783,9808,7.68,26055,1,78,NT West
FLORIENT RISE・TOWER 3,2,Olympic Station,15,593,19814,809,14524,11.75,39862,1,73,HK Island
CITY ONE SHATIN・SITE 4・BLOCK 39,2,City One Shatin,39,304,14407,410,10682,4.38,14859,6,74,NT East
Taikoo Shing・HORIZON GARDENS・(T-58)  Choi Tien Mansion,3,Taikoo Shing,37,792,19570,907,17089,15.5,45072,3,87,NT West
MOD595,2,Prince Edward,17,483,15320,696,10632,7.4,25105,5,69,Kowloon
Grand Seaview Heights,2,Tin Hau,22,356,25280,544,16544,9.0,30533,1,65,HK Island
Villa Oceania・Block 7,2,Ma On Shan,25,558,13405,733,10204,7.48,25376,6,76,NT East
Park Avenue・PHASE 1・Tower 8,2,Olympic Station,23,449,19599,618,14239,8.8,29854,6,72,HK Island
CITY ONE SHATIN・SITE 2・BLOCK 21,2,City One Shatin,42,327,13761,395,11392,4.5,15266,9,82,NT East
NEW KWAI FONG GARDENS・BLOCK B,2,Ha Kwai Chung,41,418,13110,510,10745,5.48,18591,2,81,NT East
TAIKOO SHING・HARBOUR VIEW GARDENS (WEST)・(T-36)  OAK MANSION,3,Taikoo Shing,40,1114,18850,1237,16976,21.0,61066,4,90,NT West
YOHO TOWN・PHASE 2 YOHO MIDTOWN・BLOCK M3,3,Yuen Long Station,14,615,14146,803,10834,8.7,29515,5,76,NT East
Whampoa Garden・Phase 2 Cherry Mansions・Block 11,2,Whampoa,37,389,15038,469,12473,5.85,19846,3,82,Kowloon
SMITHFIELD TERRACE・BLOCK C,2,Kennedy Town,38,314,21910,413,16658,6.88,23341,10,76,HK Island
Century Gateway・Phase 1・Tower 1,4,Tuen Mun Town Centre,11,858,14428,1110,11153,12.38,42000,4,77,NT West
SIU HONG COURT・SIU YAN HOUSE (BLOCK G),2,Siu Hong,41,483,6625,588,5442,3.2,10856,1,82,HK Island
The Parcville・TOWER 5,2,Yuen Long Station,22,460,10434,606,7920,4.8,16284,10,75,NT East
YAT NGA COURT・YAT YAN HOUSE (BLOCK B),3,Tai Po Town Centre,32,566,8268,754,5830,4.68,15877,4,75,NT West
TELFORD GARDENS・BLOCK F,2,Kowloon Bay,44,556,10251,625,9120,5.7,19338,2,88,Kowloon
Yoho Town・PHASE 1・Block 9,2,Yuen Long Station,20,422,13270,544,10294,5.6,18998,10,77,NT East
KWAI FONG TERRACE・BLOCK 3,2,Ha Kwai Chung,40,473,10570,590,8474,5.0,16963,3,80,NT East
YOHO TOWN・Phase 1・BLOCK 1,2,Yuen Long Station,20,433,13394,579,10017,5.8,19677,10,74,NT East
Villa By The Park・Block 5,2,Yuen Long Town Centre,21,428,10116,570,7596,4.33,14690,10,75,NT East
VILLA BY THE PARK・BLOCK 3,2,Yuen Long Town Centre,21,431,10417,570,7877,4.49,15233,10,75,NT East
Century Gateway・Phase 1・Tower 5,1,Tuen Mun Town Centre,11,375,13333,478,10460,5.0,16963,4,78,NT West
SIU HONG COURT・SIU YAN HOUSE (BLOCK G),2,Siu Hong,41,466,7532,567,6190,3.51,11908,1,82,HK Island
THE METRO CITY・PHASE 2・TOWER 1,3,Po Lam,24,545,14587,764,10405,7.95,26971,7,71,NT East
The Parcville・TOWER 8,2,Yuen Long Station,22,509,9430,673,7132,4.8,16284,10,75,NT East
TAIKOO SHING・ON SHING TERRACE・(T-32)  KO ON MANSION,2,Taikoo Shing,43,580,15517,675,13333,9.0,30533,6,85,NT West
TUNG CHUNG CRESCENT・Phase 1・BLOCK 3,2,Tung Chung Town Centre,25,521,11861,715,8643,6.18,20966,5,72,NT West
SORRENTO・PHASE 2・BLOCK 1,3,Kowloon Station,20,1119,27256,1445,21107,30.5,73909,3,77,Kowloon
FANLING CENTRE・PHASE 1・BLOCK B,3,Fanling,33,535,10841,688,8430,5.8,19677,5,77,NT East
SHATIN PLAZA・RICHMOND TOWER (BLOCK A),3,Sha Tin,37,612,14133,774,11175,8.65,29346,10,79,NT East
VISTA PARADISO・Phase 1・TOWER 11,3,Ma On Shan,26,794,10768,983,8697,8.55,29006,8,80,NT East
TAI PO CENTRE・PHASE 4・BLOCK 9,2,Tai Po Town Centre,38,371,11536,517,8278,4.28,14520,3,71,NT West
Kennedy Park At Central,3,Mid-Levels Central,10,1452,36501,2007,26407,53.0,128432,3,72,HK Island
AVON PARK・BLOCK 3,2,Fanling,30,441,10408,568,8080,4.59,15572,9,77,NT East
ROYAL COURT,3,Mid-Levels Central,29,702,21766,919,16626,15.28,44433,8,76,HK Island
HILTON PLAZA・BLOCK C,3,Sha Tin,38,475,13894,757,8718,6.6,22391,5,62,NT East
Kam Hay Court・Kam Yan House (Block B),2,Ma On Shan,34,401,8428,515,6563,3.38,11467,8,77,NT East
ELIZABETH HOUSE・BLOCK A,2,Causeway Bay,45,540,19444,623,16853,10.5,35622,2,86,HK Island
HILLSBOROUGH COURT・TOWER 1,3,Mid-Levels Central,31,1190,28151,1385,24187,33.5,81179,10,85,HK Island
FANLING CENTRE・PHASE 1・BLOCK F,2,Fanling,33,368,10271,470,8042,3.78,12824,5,78,NT East
The Sparkle・BLOCK 1,2,Four Little Dragons,16,505,14257,709,10155,7.2,24426,4,71,NT West
YAN MING COURT・YAN KUK HOUSE (BLOCK E),3,Po Lam,34,554,7581,711,5907,4.2,14249,6,77,NT East
LAICHIKOK BAY GARDEN・BLOCK B,2,Lai Wan,47,435,11954,518,10038,5.2,17641,6,83,NT West
TELFORD GARDENS・BLOCK Q,2,Kowloon Bay,42,540,10185,603,9121,5.5,18659,2,89,Kowloon
HONG LAI GARDEN・BLOCK 2,2,Tuen Mun Town Centre,35,362,10773,469,8315,3.9,13231,5,77,NT West
YAT NGA COURT・YAT WING HOUSE (BLOCK A),2,Tai Po Town Centre,32,376,13829,500,8510,5.2,17641,4,75,NT West
BILLIONNAIRE ROYALE,3,Wong Tai Sin,14,930,14516,1214,11120,13.5,45799,7,76,Kowloon
SHEUNG SHUI CENTRE・BLOCK 5,2,Sheung Shui,30,350,11714,455,9010,4.1,13909,3,76,NT East
NAN FUNG SUN CHUEN・BLOCK 12,2,Quarry Bay,45,391,14322,474,11814,5.6,18998,6,82,HK Island
TAIKOO SHING・SING FAI TERRACE・(T-53)  NGAN SING MANSION,3,Taikoo Shing,41,719,17663,815,15582,12.7,43085,4,88,NT West
CHEONG YUE MANSION,1,Kennedy Town,44,267,13108,386,9067,3.5,11874,4,69,HK Island
